seed,zone,lod,triangles,wood_components,wood_boundary_edges,wood_nonmanifold,crown_components,crown_wood_contacts_min,max_tip_to_crown_surface,root_min_y_delta,source_matrix_error,palette_error,sha256
4137,return-view,0,3600,1,0,0,6,11,0.09418982267379761,0.0074154287576675415,5.912780762784564e-07,3.052039454498612e-09,b045237fd5d21e07ececba8c65c2a0c65ad9fdfe0b8ebc074a45cf0c82a87333
4137,return-view,1,2230,1,0,0,6,11,0.0951763316988945,0.009195417165756226,5.912780762784564e-07,3.052039454498612e-09,1095b5c69e447d2703df9b2e9703979e06f03a5cbcc89a9fcf35295a4ed0235b
4137,return-view,2,1222,1,0,0,6,5,0.09132663905620575,0.0067854225635528564,5.912780762784564e-07,3.052039454498612e-09,88fb6d92b85e27962b71fb0ccdc2bdd3faa45e12f6c5a5686502c9a060026a72
5566,master-stones,0,3600,1,0,0,7,11,0.093552365899086,0.005525246262550354,5.912780762784564e-07,3.052039454498612e-09,d1308afa521cf4cd5bbe0778238a045e4901cc9c60c7c3ef8dedd6aadf149d2a
5566,master-stones,1,2230,1,0,0,7,9,0.09257446974515915,0.004565238952636719,5.912780762784564e-07,3.052039454498612e-09,4ad3648933c963e1a2149c09e5c297a222c85150e7b2a581539eb3be86f16605
5566,master-stones,2,1222,1,0,0,7,6,0.0829252302646637,0.007365241646766663,5.912780762784564e-07,3.052039454498612e-09,9606b8b54f43d44a4e46a0fce1c53799f8cd44f16160b7b384d989930b5f0d75
811,moss-entry,0,3600,1,0,0,6,8,0.09339170902967453,0.005797207355499268,7.247924802555872e-07,3.052039454498612e-09,f2453f21f23f6e46a7ee4db4cfe001b5292af0935a4bc0f64b3008102fa03db6
811,moss-entry,1,2230,1,0,0,6,8,0.08612220734357834,0.005797207355499268,7.247924802555872e-07,3.052039454498612e-09,ed3717526129d7348ad76dc60f86f5473aa9cc03d3d556017c343ef04f397f90
811,moss-entry,2,1222,1,0,0,6,6,0.08812636882066727,0.007677197456359863,7.247924802555872e-07,3.052039454498612e-09,9287d2368e94342a8706445f486b1baf98465b6b966a705f58d2f065ba1e7057
820,moss-entry,0,3598,1,0,0,6,10,0.11196698248386383,0.008471459150314331,5.912780762784564e-07,3.052039454498612e-09,2dc81feb156edb133c196d8b6e0191302b8c51e5e826d1a7f8ada8f465ecb1c9
820,moss-entry,1,2228,1,0,0,6,10,0.11289600282907486,0.008471459150314331,5.912780762784564e-07,3.052039454498612e-09,40c4ddf354ab3ef68b0831dc9fe932d99f9ac9d8139bf5e80371ae9c7081d430
