00:00.357  blend            | Read blend: "/Users/panglaohu/Downloads/TigerInBamboo/TigerMessenger/assets/models/originals/blender-r3/oldHarbor.blend"
BlenderMCP: cannot start server in background mode (blender -b) - commands would never execute
BlenderMCP: run Blender with a GUI, or use a virtual display: xvfb-run -a blender
BlenderMCP addon registered
INFO Draco is available, use library at /Applications/Blender.app/Contents/Resources/5.2/scripts/addons_core/io_scene_gltf2/libbf_intern_draco_bridge.dylib
INFO MeshOptimizer is available, use library at /Applications/Blender.app/Contents/Resources/5.2/scripts/addons_core/io_scene_gltf2/libbf_intern_meshopt_bridge.dylib
04:15:47 | INFO: Extracting primitive: crew-crestStems.010
04:15:47 | INFO: Primitives created: 1
04:15:47 | INFO: Extracting primitive: crew-crestStems.011
04:15:47 | INFO: Primitives created: 1
04:15:47 | INFO: Extracting primitive: crew-crestStems.012
04:15:47 | INFO: Primitives created: 1
04:15:47 | INFO: Extracting primitive: crew-crestStems.014
04:15:47 | INFO: Primitives created: 1
04:15:47 | INFO: Extracting primitive: crew-crestStems.015
04:15:47 | INFO: Primitives created: 1
04:15:47 | INFO: Extracting primitive: crew-crestStems.016
04:15:47 | INFO: Primitives created: 1
04:15:47 | INFO: Extracting primitive: crew-crestStems.017
04:15:47 | INFO: Primitives created: 1
